year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,Birth Place,Birthday,College,Experience,Number,Player Id,Position,Years Played
2015,Ameer Abdullah,Ameer,Abdullah,RB,5,9.0000,69.0000,205,0.0000,0.0000,4.6000,0.0000,0.0000,3.9500,6.7900,42.5000,130,24,0,Nebraska,,0,0,0,5.9,"Mobile , AL",6/13/1993,Nebraska,3rd season,21,ameerabdullah/2552374,RB,
2015,Nelson Agholor,Nelson,Agholor,WR,6,0.0000,72.0000,198,0.0000,0.0000,4.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0,12,0,USC,,0,0,0,5.6,Nigeria,5/24/1993,USC,3rd season,17,nelsonagholor/2552600,WR,
2015,Jay Ajayi,Jay,Ajayi,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.5700,0.0000,0.0000,4.1000,7.1000,39.0000,121,19,0,Boise St.,,0,0,0,6.0,London England,6/15/1993,Boise State,3rd season,23,jayajayi/2552582,RB,
2015,Kwon Alexander,Kwon,Alexander,OLB,6,1.0000,73.0000,227,0.0000,0.0000,4.5500,0.0000,0.0000,4.2000,7.1400,36.0000,121,24,0,LSU,,0,0,0,5.4,"Oxford , AL",8/3/1994,LSU,3rd season,58,kwonalexander/2552592,MLB,
2015,Mario Alford,Mario,Alford,WR,5,8.0000,68.0000,180,0.0000,0.0000,4.4300,0.0000,0.0000,4.0700,6.6400,34.0000,121,13,0,West Virginia,,0,0,0,5.3,"Greenville , GA",2/25/1992,West Virginia,2nd season,15,marioalford/2552650,WR,
2015,Javorius Allen,Javorius,Allen,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.5300,0.0000,0.0000,4.2800,6.9600,35.5000,121,11,0,USC,,0,0,0,5.3,"Tallahassee , FL",8/27/1991,USC,3rd season,37,javoriusallen/2552631,RB,
2015,Adrian Amos,Adrian,Amos,FS,6,0.0000,72.0000,218,0.0000,0.0000,4.5600,0.0000,0.0000,4.0300,7.0900,35.5000,122,0,0,Penn St.,,0,0,0,5.5,"Baltimore , MD",4/29/1993,Penn State,3rd season,38,adrianamos/2552385,FS,
2015,Dres Anderson,Dres,Anderson,WR,6,1.0000,73.0000,187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,13,0,Utah,,0,0,0,5.5,,7/20/1992,Utah,2nd season,,dresanderson/2552413,WR,
2015,Henry Anderson,Henry,Anderson,DE,6,6.0000,78.0000,294,0.0000,0.0000,5.0300,0.0000,0.0000,4.1900,7.2000,30.0000,111,0,0,Stanford,,0,0,0,5.6,"Atlanta , GA",8/3/1991,Stanford,3rd season,96,henryanderson/2552272,DE,
2015,Stephone Anthony,Stephone,Anthony,ILB,6,3.0000,75.0000,243,0.0000,0.0000,4.5600,0.0000,0.0000,4.0300,7.0700,37.0000,122,23,0,Clemson,,0,0,0,5.4,"Waxhaw , NC",7/28/1992,Clemson,3rd season,50,stephoneanthony/2552321,OLB,
2015,Arik Armstead,Arik,Armstead,DT,6,7.0000,79.0000,292,0.0000,0.0000,5.1000,0.0000,0.0000,4.5300,7.5700,34.0000,117,24,0,Oregon,,0,0,0,6.2,"Sacramento , CA",11/15/1993,Oregon,3rd season,91,arikarmstead/2552493,DE,
2015,Cameron Artis-Payne,Cameron,Artis-Payne,RB,5,10.0000,70.0000,212,0.0000,0.0000,4.5300,0.0000,0.0000,0.0000,7.1300,36.5000,118,0,0,Auburn,,0,0,0,5.4,"Chester , PA",6/23/1990,Auburn,3rd season,34,cameronartis-payne/2552375,RB,
2015,Neiron Ball,Neiron,Ball,OLB,6,2.0000,74.0000,236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,22,0,Florida,,0,0,0,4.9,"Jackson , GA",8/20/1992,Florida,3rd season,58,neironball/2552680,OLB,
2015,Tavaris Barnes,Tavaris,Barnes,DE,6,4.0000,76.0000,282,0.0000,0.0000,4.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0,22,0,Clemson,,0,0,0,5.0,,11/2/1991,Clemson,3rd season,,tavarisbarnes/2553789,DE,
